2	26.830
17.529	-18.160	86.101
16.715	-18.470	87.210
16.542	-19.546	87.837
17.913	-21.147	87.506
19.373	-22.412	87.066
20.565	-23.829	86.791
21.798	-24.074	86.463
23.171	-24.632	86.079
23.417	-26.002	86.501
23.455	-27.246	87.131
24.825	-27.803	86.823
23.972	-27.876	88.264
24.747	-27.149	88.361
25.925	-26.997	88.073
25.450	-27.668	88.892
26.448	-28.964	88.566
26.858	-28.568	89.248
25.566	-28.166	91.164
25.143	-26.921	92.321
25.324	-25.957	92.945
24.114	-24.591	94.449
22.709	-23.841	95.966
21.535	-23.662	97.248
20.901	-24.241	98.209
20.395	-24.847	99.180
19.362	-24.744	100.547
19.723	-23.824	101.169
19.205	-22.392	102.247
18.521	-20.957	103.333
17.739	-19.536	104.398
18.517	-21.341	104.759
19.897	-23.399	104.867
21.279	-25.460	105.062
22.886	-27.546	105.150
23.828	-27.283	105.613
23.542	-26.097	106.736
23.027	-26.808	107.890
23.362	-28.295	108.534
23.432	-29.583	109.498
24.606	-29.688	109.950
25.936	-29.979	110.460
26.531	-29.572	111.545
25.526	-28.437	113.537
24.229	-27.705	115.555
23.929	-28.561	116.866
26.105	-30.815	116.691
25.104	-29.347	118.639
24.527	-27.938	120.362
23.705	-26.411	122.067
22.761	-24.783	123.543
22.217	-23.330	124.652
24.261	-24.490	124.728
25.314	-26.680	125.283
25.731	-28.400	126.207
25.563	-29.546	127.428
25.492	-30.682	128.600
26.080	-32.432	129.431
25.808	-33.260	130.769
24.204	-32.370	132.753
24.298	-31.383	133.739
24.157	-30.183	134.729
23.604	-28.630	135.779
24.989	-29.020	135.996
27.327	-30.633	135.931
30.299	-33.932	135.726
32.575	-37.321	135.954
33.758	-39.900	136.833
33.352	-40.740	138.610
32.542	-41.036	140.442
31.978	-41.559	142.027
31.527	-42.212	143.528
32.416	-44.254	144.369
34.981	-47.629	144.362
38.561	-51.139	143.576
38.268	-51.758	145.618
38.843	-53.343	147.053
37.613	-52.191	149.529
37.780	-51.203	150.945
39.489	-51.557	151.452
42.927	-53.833	150.973
46.521	-56.289	150.418
49.728	-58.244	150.238
52.181	-59.415	150.750
52.027	-59.420	153.304
51.886	-59.826	155.675
51.351	-59.730	158.071
50.513	-58.895	160.441
55.791	-63.391	159.736
55.171	-63.226	162.009
54.518	-63.245	163.981
56.773	-66.503	164.847
63.543	-72.655	163.664
66.958	-77.121	164.130
71.262	-82.362	163.653
74.063	-84.212	165.020
77.042	-86.400	166.461
80.515	-89.280	167.977
84.460	-92.189	167.682
87.824	-94.688	167.005
91.425	-99.528	166.760
95.206	-104.577	166.529
98.523	-109.149	165.991
102.679	-114.585	165.903
107.114	-120.216	166.039
110.349	-124.475	166.084
109.829	-124.609	165.646
112.429	-125.799	165.874
115.683	-127.650	166.215
119.758	-130.386	166.578
123.868	-133.232	166.836
128.525	-136.705	167.062
135.884	-142.983	167.384
150.667	-156.975	167.817
169.111	-174.699	167.797
-175.851	171.078	167.212
-171.091	167.469	166.424
177.006	178.749	165.839
-179.936	176.741	165.039
178.493	176.939	164.172
178.811	175.238	163.267
-178.940	171.729	162.303
-173.702	165.676	161.138
-169.133	160.532	159.802
-174.193	164.944	159.140
-170.680	162.816	157.661
-172.365	166.165	156.649
-174.913	170.068	155.797
-179.603	175.404	155.015
175.546	-179.897	154.011
174.441	179.811	152.874
176.665	176.174	151.705
-178.800	170.726	150.263
-174.246	165.728	148.621
-170.440	161.579	146.883
-167.140	158.165	145.026
-165.176	155.562	143.255
-167.261	156.677	142.475
-170.383	159.066	142.002
-174.071	163.043	141.637
-176.254	166.184	140.923
-175.915	167.028	139.783
-175.809	168.115	138.650
-173.472	165.329	137.144
-170.866	162.484	135.509
-168.583	159.729	133.839
-168.183	158.430	132.589
-167.858	157.326	131.299
-169.183	158.013	130.500
-171.432	160.276	130.004
-173.584	162.486	129.459
-175.285	163.951	128.812
-176.831	165.165	128.180
-179.098	167.822	127.800
-177.991	168.491	126.884
-176.856	169.072	126.047
-176.572	170.363	125.354
-176.374	171.567	124.669
-176.331	172.804	124.007
-176.670	174.285	123.394
-174.672	173.366	122.581
-174.508	172.105	122.002
-174.760	171.252	121.556
-174.175	169.691	121.034
-174.212	168.644	120.660
-175.021	168.276	120.509
-177.431	170.263	120.927
-177.039	170.869	120.836
-176.685	171.452	120.745
-175.688	171.329	120.578
-174.777	171.384	120.296
-174.357	172.102	120.059
-174.049	173.085	119.724
-173.594	174.143	119.233
-172.141	174.244	118.546
-171.533	172.900	117.921
-170.472	171.186	117.264
-168.857	169.147	116.563
-167.355	167.093	115.921
-166.147	165.178	115.434
-164.732	164.350	114.965
-164.462	164.915	114.973
-164.663	165.864	115.176
-165.578	167.384	115.555
-168.058	168.650	116.218
-169.906	169.098	116.648
-171.373	169.221	116.891
-172.898	169.535	117.156
-174.639	170.166	117.450
-176.513	170.969	117.741
-178.442	171.859	118.012
179.896	174.030	118.205
179.434	175.468	118.235
179.368	176.539	118.227
178.374	178.317	118.261
177.975	177.387	118.270
178.247	176.011	118.254
-179.700	173.764	118.073
-178.864	171.980	117.968
179.794	172.215	118.153
-179.137	170.342	118.001
-178.562	171.058	117.928
-178.247	172.001	117.895
-178.254	173.155	117.896
-177.276	173.352	117.780
-177.212	174.449	117.773
-175.128	172.570	117.521
-173.237	170.409	117.209
-175.618	172.368	117.543
-177.328	174.542	117.724
-179.643	176.361	117.900
-179.008	174.669	117.714
-178.143	172.827	117.487
-178.633	172.066	117.428
-179.119	171.364	117.499
-177.964	171.353	117.208
-176.776	171.399	116.922
-176.863	172.698	116.949
-178.924	174.263	117.197
-177.325	172.131	117.013
-178.836	172.699	117.228
-177.516	172.588	117.068
-178.337	174.403	117.171
-177.280	172.524	117.054
-175.786	170.428	116.836
-173.549	168.603	116.426
-173.386	169.611	116.396
-171.232	167.753	115.953
-172.869	169.891	116.286
-174.724	172.076	116.586
-176.870	174.163	116.848
-175.626	174.053	116.717
-176.141	175.663	116.772
-175.290	173.921	116.698
-174.576	172.274	116.619
-174.395	170.973	116.592
-173.621	169.238	116.454
-173.178	169.989	116.373
-172.266	170.260	116.211
-172.140	171.303	116.190
-170.294	169.137	115.863
-170.814	168.459	115.969
-170.349	166.943	115.864
-172.287	169.078	116.287
-174.068	169.935	116.622
-175.983	172.130	116.929
-174.578	171.818	116.728
-174.845	173.191	116.764
-173.392	171.087	116.559
-171.895	170.651	116.315
-172.906	172.533	116.468
-174.706	173.406	116.693
-174.182	171.839	116.623
-173.427	170.114	116.501
-173.373	171.221	116.494
-173.044	172.082	116.444
-172.272	172.413	116.325
-173.123	171.991	116.433
-173.956	171.562	116.545
-175.130	171.589	116.721
-175.906	171.175	116.840
-175.299	169.555	116.735
-175.585	170.937	116.787
-175.352	171.883	116.751
-174.448	172.163	116.622
-175.064	173.795	116.699
-173.052	171.619	116.437
-171.963	169.696	116.254
-173.927	171.867	116.580
-172.575	169.813	116.357
-173.939	171.874	116.582
-175.289	172.117	116.774
-173.185	170.008	116.437
-175.333	172.059	116.783
-173.146	170.219	116.435
-173.648	171.767	116.517
-172.794	169.979	116.376
-173.761	171.836	116.535
-173.507	170.475	116.493
-175.057	172.609	116.729
-175.409	174.047	116.771
-174.238	172.072	116.625
-173.198	170.174	116.459
-172.804	168.708	116.384
-174.929	170.771	116.777
-175.569	170.218	116.884
-173.635	168.026	116.671
-173.512	169.063	116.845
-175.687	170.838	117.458
-175.255	171.592	117.634
-174.468	171.994	117.767
-174.003	172.659	117.913
-174.903	172.303	118.212
-176.008	172.182	118.532
-177.684	172.772	118.944
179.972	174.691	119.401
178.662	176.776	119.706
176.600	178.034	119.985
177.167	176.428	120.176
